id,activity_new,campaign_disc_ele,channel_sales,cons_12m,cons_gas_12m,cons_last_month,date_activ,date_end,date_first_activ,date_modif_prod,date_renewal,forecast_base_bill_ele,forecast_base_bill_year,forecast_bill_12m,forecast_cons,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_p1,forecast_price_energy_p2,forecast_price_pow_p1,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,origin_up,pow_max,churn
48ada52261e7cf58715202705a0451c9,esoiiifxdlbkcsluxmfuacbdckommixw,,lmkebamcaaclubfxadlmueccxoimlema,309275,0,10025,7/11/2012,6/11/2016,,7/11/2012,9/11/2015,,,,,26520.3,10025,0,359.29,0.095919,0.088347,58.99595196,f,831.8,-41.76,-41.76,1,1732.36,3,ldkssxwpmemidmecebumciepifcamkci,180,0
24011ae4ebbe3035111d65fa7c15bc57,,,foosdfpfkusacimwkcsosbicdxkicaua,0,54946,0,15/6/2013,15/6/2016,,,23/6/2015,,,,,0,0,0,1.78,0.114481,0.098142,40.606701,t,0,25.44,25.44,2,678.99,3,lxidpiddsbxsbosboudacockeimpuepw,43.648,1
d29c2c54acc38ff3c0614d0a653813dd,,,,4660,0,0,21/8/2009,30/8/2016,,21/8/2009,31/8/2015,,,,,189.95,0,0,16.27,0.145711,0,44.31137796,f,0,16.38,16.38,1,18.89,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.8,0
764c75f661154dac3a6c254cd082ea7d,,,foosdfpfkusacimwkcsosbicdxkicaua,544,0,0,16/4/2010,16/4/2016,,16/4/2010,17/4/2015,,,,,47.96,0,0,38.72,0.165794,0.087899,44.31137796,f,0,28.6,28.6,1,6.6,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.856,0
bba03439a292a1e166f80264c16191cb,,,lmkebamcaaclubfxadlmueccxoimlema,1584,0,0,30/3/2010,30/3/2016,,30/3/2010,31/3/2015,,,,,240.04,0,0,19.83,0.146694,0,44.31137796,f,0,30.22,30.22,1,25.46,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2,0
568bb38a1afd7c0fc49c77b3789b59a3,sfisfxfcocfpcmckuekokxuseixdaoeu,,foosdfpfkusacimwkcsosbicdxkicaua,121335,0,12400,8/4/2010,8/4/2016,8/4/2010,8/4/2010,12/4/2015,1399.83,1399.83,14559.74,1052.37,10865.02,12400,0,170.74,0.110083,0.093746,40.606701,f,1052.37,-3.18,-3.18,1,823.18,6,lxidpiddsbxsbosboudacockeimpuepw,75,0
149d57cf92fc41cf94415803a877cb4b,,,,4425,0,526,13/1/2010,7/3/2016,,13/1/2010,9/3/2015,,,,,445.75,526,0,131.73,0.1169,0.100015,40.606701,f,52.32,44.91,44.91,1,47.98,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,19.8,0
1aa498825382410b098937d65c4ec26d,,,usilxuppasemubllopkaafesmlibmsdf,8302,0,1998,9/12/2011,9/12/2016,9/12/2011,1/11/2015,10/12/2015,290.1,290.1,1412.54,181.21,796.94,1998,0,30.12,0.164775,0.086131,45.30837756,f,181.21,33.12,33.12,1,118.89,4,lxidpiddsbxsbosboudacockeimpuepw,13.2,1
7ab4bf4878d8f7661dfc20e9b8e18011,sscfoipxikopfskekuobeuxkxmwsuucb,,foosdfpfkusacimwkcsosbicdxkicaua,45097,0,0,2/12/2011,2/12/2016,,2/12/2011,3/12/2015,,,,,8069.28,0,0,0,0.166178,0.087538,44.31137796,f,0,4.04,4.04,1,346.63,4,lxidpiddsbxsbosboudacockeimpuepw,15,1
01495c955be7ec5e7f3203406785aae0,,,foosdfpfkusacimwkcsosbicdxkicaua,29552,0,1260,21/4/2010,21/4/2016,21/4/2010,21/4/2010,22/4/2015,248.79,248.79,2720.29,70.63,864.73,751,0,144.49,0.115174,0.098837,40.606701,f,70.63,53.92,53.92,1,100.09,6,lxidpiddsbxsbosboudacockeimpuepw,26.4,0
f53a254b1115634330c12c7fdbf7958a,cssldxpacdmuuaulamxdekcokibauube,,usilxuppasemubllopkaafesmlibmsdf,2962,0,0,23/9/2011,23/9/2016,,23/9/2011,25/9/2015,,,,,444.38,0,0,15.85,0.145711,0,44.31137796,f,0,12.82,12.82,1,42.59,4,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2,0
10c1b2f97a2d2a6f10299dc213d1a370,ppcxfxbffsxaakxamcdpexdoxulfwwae,,lmkebamcaaclubfxadlmueccxoimlema,26064,0,2188,4/5/2010,4/5/2016,,29/4/2015,5/5/2015,,,,,2738.1,2188,0,130.43,0.115761,0.099419,40.606701,f,219.59,33.42,33.42,1,329.6,6,lxidpiddsbxsbosboudacockeimpuepw,31.5,0
d5e512dbc8118a830a7b8c7f61d89992,,,usilxuppasemubllopkaafesmlibmsdf,10831,0,3112,11/7/2011,11/7/2016,,11/7/2011,12/7/2015,,,,,1204.58,3112,0,20.94,0.164637,0.087381,44.31137796,f,349.48,14.52,14.52,1,108.5,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,11.5,0
6ee77a019251bcc304c88167e0dfcb4c,,,foosdfpfkusacimwkcsosbicdxkicaua,4442,0,2489,26/11/2009,26/11/2016,,26/11/2009,27/11/2015,,,,,561.96,2489,0,20.5,0.167086,0.088444,46.30537836,f,308.41,21.09,21.09,1,18.41,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,10.392,0
2c05848e1a577dd041ea6804bbf5bbf5,kkklcdamwfafdcfwofuscwfwadblfmce,,foosdfpfkusacimwkcsosbicdxkicaua,46121,1542867,5280,1/9/2011,30/10/2016,1/9/2011,30/10/2013,1/11/2015,643.44,643.44,5718.05,523.68,4502.43,5280,0,145.81,0.115237,0.100123,40.606701,t,523.68,5.52,5.52,2,533.46,4,lxidpiddsbxsbosboudacockeimpuepw,16.5,0
21860c2ff2d5df75503b230ce629c253,,,foosdfpfkusacimwkcsosbicdxkicaua,7726,0,0,22/1/2013,22/1/2017,,18/11/2015,24/1/2016,,,,,914.1,0,0,74.66,0.162327,0.084428,44.31137796,f,0,33.12,33.12,1,89.02,3,ldkssxwpmemidmecebumciepifcamkci,13.2,0
227254ed8be1393d5e37e6dc9c3f359b,,,lmkebamcaaclubfxadlmueccxoimlema,55084,0,8709,1/11/2012,31/10/2016,,18/9/2015,1/11/2015,,,,,1765.35,3513,0,0,0.098925,0.09135,58.99595196,f,290.91,-2.08,-2.08,1,140.26,3,ldkssxwpmemidmecebumciepifcamkci,10,0
c5037389dd8be351d3c40f2973da2391,,,,9707,0,0,1/12/2010,1/12/2016,,1/12/2010,2/12/2015,,,,,1028.52,0,0,15.37,0.168242,0.089602,45.30837756,f,0,15.78,15.78,1,111.59,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.856,0
e4773b60d2e68aac94795782abfc006b,apdekpcbwosbxepsfxclislboipuxpop,,lmkebamcaaclubfxadlmueccxoimlema,47019,0,3161,20/4/2012,20/4/2016,,20/4/2012,21/4/2015,,,,,1687.29,1080,0,16.08,0.144902,0,44.31137796,f,158.53,19.28,19.28,1,130.14,4,ldkssxwpmemidmecebumciepifcamkci,10.392,0
bd14bbac3aca710ee5288fcd8511d4bb,apdekpcbwosbxepsfxclislboipuxpop,,,786536,80583,85883,15/2/2010,15/2/2016,15/2/2010,15/2/2010,16/2/2015,2669.59,2669.59,14047.18,2585.38,13517.5,23298,0,16.6,0.164058,0.086163,44.31137796,t,2585.38,25.68,25.68,2,1087.76,6,lxidpiddsbxsbosboudacockeimpuepw,11.4,0
4e4a34a6d91ff25d0fdf68733907ad44,,,foosdfpfkusacimwkcsosbicdxkicaua,30776,0,0,1/8/2011,25/7/2016,,25/7/2014,27/7/2015,,,,,3045.16,0,0,118.24,0.11286,0.096521,40.606701,f,0,19.29,19.29,1,335.78,5,,25,0
f2b93783adecf0d0d8d60ab547bda3de,,,,24838,0,2877,27/5/2011,27/5/2016,,27/5/2011,31/5/2015,,,,,1088.35,798,0,141.79,0.115174,0.098837,40.606701,f,79.36,21.57,21.57,1,117.44,5,ldkssxwpmemidmecebumciepifcamkci,15.001,0
47e976c5d7f1ee1fee6d60ca39fd0218,,,foosdfpfkusacimwkcsosbicdxkicaua,15411,0,0,28/5/2012,28/5/2016,,28/5/2012,31/5/2015,,,,,194.42,0,0,18.31,0.145711,0,44.31137796,f,0,23.97,23.97,1,19.07,4,lxidpiddsbxsbosboudacockeimpuepw,13,0
db6ac41fb6972374f28bc6f8e43b9764,kkklcdamwfafdcfwofuscwfwadblfmce,,foosdfpfkusacimwkcsosbicdxkicaua,16782,0,1908,1/10/2009,1/10/2016,,1/10/2009,3/10/2015,,,,,1686.67,1908,0,131.77,0.115237,0.100123,40.606701,t,189.79,6.6,6.6,2,203.35,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,19.8,0
bee0c7e972180fbee50c2ea15b12965c,,,foosdfpfkusacimwkcsosbicdxkicaua,26987,0,4099,4/3/2011,4/3/2016,,4/3/2011,9/3/2015,,,,,2761.95,4099,0,129.95,0.118636,0.10175,40.606701,f,413.68,47.35,47.35,1,316.53,5,lxidpiddsbxsbosboudacockeimpuepw,35,0
