cons_last_month,has_gas,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,duration,churn
10025,0,-41.76,-41.76,1,1732.36,3,180.0,1460.0,0
0,1,25.44,25.44,2,678.99,3,43.648,1096.0,1
0,0,16.38,16.38,1,18.89,6,13.8,2566.0,0
0,0,28.6,28.6,1,6.6,6,13.856,2192.0,0
0,0,30.22,30.22,1,25.46,6,13.2,2192.0,0
12400,0,-3.18,-3.18,1,823.18,6,75.0,2192.0,0
526,0,44.91,44.91,1,47.98,6,19.8,2245.0,0
1998,0,33.12,33.12,1,118.89,4,13.2,1827.0,1
0,0,4.04,4.04,1,346.63,4,15.0,1827.0,1
1260,0,53.92,53.92,1,100.09,6,26.4,2192.0,0
0,0,12.82,12.82,1,42.59,4,13.2,1827.0,0
2188,0,33.42,33.42,1,329.6,6,31.5,2192.0,0
3112,0,14.52,14.52,1,108.5,5,11.5,1827.0,0
2489,0,21.09,21.09,1,18.41,6,10.392000000000001,2557.0,0
5280,1,5.52,5.52,2,533.46,4,16.5,1886.0,0
0,0,33.12,33.12,1,89.02,3,13.2,1461.0,0
8709,0,-2.08,-2.08,1,140.26,3,10.0,1460.0,0
0,0,15.78,15.78,1,111.59,5,13.856,2192.0,0
3161,0,19.28,19.28,1,130.14,4,10.392000000000001,1461.0,0
85883,1,25.68,25.68,2,1087.76,6,11.4,2191.0,0
0,0,19.29,19.29,1,335.78,5,25.0,1820.0,0
2877,0,21.57,21.57,1,117.44,5,15.001,1827.0,0
0,0,23.97,23.97,1,19.07,4,13.0,1461.0,0
1908,1,6.6,6.6,2,203.35,6,19.8,2557.0,0
4099,0,47.35,47.35,1,316.53,5,35.0,1827.0,0
3804,0,4.14,4.14,1,255.96,3,11.0,1461.0,0
0,0,25.92,25.92,1,291.78,3,17.320999999999998,1096.0,1
0,0,23.4,23.4,2,123.87,3,10.392000000000001,1095.0,0
0,0,3.56,3.56,1,150.7,6,13.2,2557.0,0
322,0,57.72,57.72,1,38.76,5,23.1,2192.0,1
0,0,14.64,14.64,1,38.62,6,10.392000000000001,2192.0,0
0,0,19.42,19.42,1,60.0,4,12.5,1827.0,0
1100,0,20.0,20.0,1,94.01,6,15.01,2557.0,0
164355,1,43.44,43.44,2,487.42,5,29.0,2192.0,0
0,0,18.62,18.62,2,1.27,7,13.2,2557.0,1
0,0,27.96,27.96,2,19.0,4,10.392000000000001,1697.0,0
0,0,17.45,17.45,1,243.99,4,13.856,1461.0,0
4159,0,10.16,10.16,1,477.42,3,30.45,1461.0,0
3407,0,44.64,44.64,1,407.98,11,33.0,4018.0,0
3538,0,3.72,3.72,1,505.47,4,19.8,1827.0,0
218619,0,21.52,21.52,1,50.38,5,13.2,1827.0,0
0,0,60.39,60.39,1,111.64,6,26.6,2192.0,0
794,0,24.4,24.4,1,50.71,6,15.0,2192.0,0
0,0,17.13,17.13,1,86.43,4,10.392000000000001,1827.0,0
312684,0,11.95,11.95,1,279.26,3,13.85,1461.0,0
1592,0,29.5,29.5,1,30.9,4,13.856,1664.0,0
