cons_last_month,has_gas,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,duration,price_p1_var,price_p2_var,price_p3_var,price_p1_fix,price_p2_fix,price_p3_fix,churn
10025,0,-41.76,-41.76,1,1732.36,3,180.0,1460.0,0.10344866666666663,0.09211491666666666,0.06724116666666664,58.95650151,36.3568872,8.337050839999998,0
0,1,25.44,25.44,2,678.99,3,43.648,1096.0,0.12285563636363635,0.1021371818181818,0.07257863636363636,40.640023254545454,24.38401124727273,16.25600764363636,1
0,0,16.38,16.38,1,18.89,6,13.8,2566.0,0.14993399999999998,0.0,0.0,44.31541574181818,0.0,0.0,0
0,0,28.6,28.6,1,6.6,6,13.856,2192.0,0.17051166666666662,0.08842124999999999,0.0,44.38545036,0.0,0.0,0
0,0,30.22,30.22,1,25.46,6,13.2,2192.0,0.1512100833333333,0.0,0.0,44.40026526000001,0.0,0.0,0
12400,0,-3.18,-3.18,1,823.18,6,75.0,2192.0,0.11844758333333333,0.0981339166666667,0.06916816666666667,40.6745798,24.404746920000004,16.269832879999996,0
526,0,44.91,44.91,1,47.98,6,19.8,2245.0,0.12417433333333334,0.10363816666666664,0.07286524999999998,40.68815609999999,24.412892700000004,16.275263399999996,0
1998,0,33.12,33.12,1,118.89,4,13.2,1827.0,0.16895291666666667,0.08763249999999999,0.0,44.26693045999999,0.0,0.0,1
0,0,4.04,4.04,1,346.63,4,15.0,1827.0,0.16606066666666666,0.08474424999999998,0.0,44.26692995999999,0.0,0.0,1
1260,0,53.92,53.92,1,100.09,6,26.4,2192.0,0.12281558333333333,0.10250125,0.07353616666666668,40.6745798,24.404746920000004,16.269832879999996,0
0,0,12.82,12.82,1,42.59,4,13.2,1827.0,0.14968158333333334,0.0,0.0,44.31137535999999,0.0,0.0,0
2188,0,33.42,33.42,1,329.6,6,31.5,2192.0,0.12337916666666665,0.10295191666666664,0.0737856666666667,40.728885,24.437330040000006,16.291554959999996,0
3112,0,14.52,14.52,1,108.5,5,11.5,1827.0,0.16754041666666664,0.08574508333333335,0.0,44.34100546,0.0,0.0,0
2489,0,21.09,21.09,1,18.41,6,10.392000000000001,2557.0,0.1692606666666667,0.08768666666666668,0.0,44.53730216,0.0,0.0,0
5280,1,5.52,5.52,2,533.46,4,16.5,1886.0,0.12175263636363635,0.10173627272727273,0.07171036363636363,40.59559172727272,24.35735233090909,16.238235032727268,0
0,0,33.12,33.12,1,89.02,3,13.2,1461.0,0.16917733333333332,0.08763966666666666,0.0,44.311375259999984,0.0,0.0,0
8709,0,-2.08,-2.08,1,140.26,3,10.0,1460.0,0.10526474999999998,0.0939275,0.06905058333333335,58.956502,36.35688676,8.337051079999998,0
0,0,15.78,15.78,1,111.59,5,13.856,2192.0,0.16606066666666666,0.08474424999999998,0.0,44.26693025999998,0.0,0.0,0
3161,0,19.28,19.28,1,130.14,4,10.392000000000001,1461.0,0.14904449999999994,0.0,0.0,44.38545036,0.0,0.0,0
85883,1,25.68,25.68,2,1087.76,6,11.4,2191.0,0.16801133333333335,0.08641891666666664,0.0,44.26693025999998,0.0,0.0,0
0,0,19.29,19.29,1,335.78,5,25.0,1820.0,0.1203670833333333,0.10012291666666666,0.07082200000000001,40.64742749999999,24.38845514,16.258971359999993,0
2877,0,21.57,21.57,1,117.44,5,15.001,1827.0,0.1227855833333333,0.10239583333333332,0.07328333333333335,40.66100349999999,24.39660114,16.264402359999995,0
0,0,23.97,23.97,1,19.07,4,13.0,1461.0,0.14991324999999994,0.0,0.0,44.37063536,0.0,0.0,0
1908,1,6.6,6.6,2,203.35,6,19.8,2557.0,0.12397108333333336,0.10377791666666664,0.07359316666666664,40.59312349999999,24.355871139999994,16.237247359999998,0
4099,0,47.35,47.35,1,316.53,5,35.0,1827.0,0.12649158333333335,0.10595441666666666,0.07518249999999997,40.68815609999999,24.412892700000004,16.275263399999996,0
3804,0,4.14,4.14,1,255.96,3,11.0,1461.0,0.14766509090909094,0.0,0.0,44.29925392363635,0.0,0.0,0
0,0,25.92,25.92,1,291.78,3,17.320999999999998,1096.0,0.12427339999999995,0.10389539999999996,0.0748823,40.728885,24.437330040000006,16.291554959999996,1
0,0,23.4,23.4,2,123.87,3,10.392000000000001,1095.0,0.16642283333333333,0.08463633333333333,0.0,44.37063526,0.0,0.0,0
0,0,3.56,3.56,1,150.7,6,13.2,2557.0,0.1471161666666667,0.0,0.0,44.29656036,0.0,0.0,0
322,0,57.72,57.72,1,38.76,5,23.1,2192.0,0.12406833333333335,0.10373441666666663,0.07352883333333331,40.62121419999999,24.38939184,16.273483059999997,1
0,0,14.64,14.64,1,38.62,6,10.392000000000001,2192.0,0.14979741666666666,0.0,0.0,44.34100536,0.0,0.0,0
0,0,19.42,19.42,1,60.0,4,12.5,1827.0,0.15000933333333333,0.0,0.0,44.26693035999998,0.0,0.0,0
1100,0,20.0,20.0,1,94.01,6,15.01,2557.0,0.12397108333333336,0.10377791666666664,0.07359316666666664,40.64867909999999,24.41142674,16.292802959999996,0
164355,1,43.44,43.44,2,487.42,5,29.0,2192.0,0.10416750000000002,0.08685791666666665,0.061289999999999976,33.81855169999999,20.29112902,13.52741968,0
0,0,18.62,18.62,2,1.27,7,13.2,2557.0,0.1474783333333333,0.0,0.0,44.34100546,0.0,0.0,1
0,0,27.96,27.96,2,19.0,4,10.392000000000001,1697.0,0.17666533333333334,0.0,0.0,45.35582055999999,0.0,0.0,0
0,0,17.45,17.45,1,243.99,4,13.856,1461.0,0.1472508333333333,0.0,0.0,44.34100536,0.0,0.0,0
4159,0,10.16,10.16,1,477.42,3,30.45,1461.0,0.12460291666666665,0.10433591666666668,0.07404433333333334,40.728885,24.437330040000006,16.291554959999996,0
3407,0,44.64,44.64,1,407.98,11,33.0,4018.0,0.12239216666666668,0.10226775,0.07297908333333332,40.68815609999999,24.412892700000004,16.275263399999996,0
3538,0,3.72,3.72,1,505.47,4,19.8,1827.0,0.1255548333333333,0.10514041666666668,0.07481650000000001,40.728885,24.437330040000006,16.291554959999996,0
218619,0,21.52,21.52,1,50.38,5,13.2,1827.0,0.14887133333333327,0.0,0.0,44.35582046000001,0.0,0.0,0
0,0,60.39,60.39,1,111.64,6,26.6,2192.0,0.12779733333333335,0.10726091666666664,0.07648824999999998,40.68815609999999,24.412892700000004,16.275263399999996,0
794,0,24.4,24.4,1,50.71,6,15.0,2192.0,0.1498553333333333,0.0,0.0,44.35582046000001,0.0,0.0,0
0,0,17.13,17.13,1,86.43,4,10.392000000000001,1827.0,0.15070391666666666,0.0,0.0,44.40674525999998,0.0,0.0,0
312684,0,11.95,11.95,1,279.26,3,13.85,1461.0,0.14713683333333333,0.0,0.0,44.311375259999984,0.0,0.0,0
1592,0,29.5,29.5,1,30.9,4,13.856,1664.0,0.15650718181818182,0.0,0.0,45.89458846909092,0.0,0.0,0
0,0,14.64,14.64,1,64.34,4,10.392000000000001,1475.0,0.14783083333333327,0.0,0.0,44.35582036,0.0,0.0,0
0,0,23.4,23.4,1,156.21,5,10.392000000000001,1876.0,0.14916481818181818,0.0,0.0,44.26693017818181,0.0,0.0,0
0,0,30.22,30.22,1,0.88,5,13.2,1827.0,0.1512100833333333,0.0,0.0,44.40026526000001,0.0,0.0,0
7546,0,32.1,32.1,1,416.74,4,26.61,1461.0,0.12455424999999995,0.10424025000000002,0.07527483333333335,40.6745798,24.404746920000004,16.269832879999996,0
